Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052412.296949,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.301033,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.310924,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.320937,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.322015,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.330958,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.340935,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.346970,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.350953,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.351346,18EAFFFE,1,3,00,EE,00,00,00,00,00,00
CAN2,1503052412.352164,18EEFF02,1,8,BD,82,A4,12,00,85,00,00
CAN2,1503052412.360980,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.370978,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.371991,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.380937,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.390944,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.396946,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.401224,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.410934,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.420933,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.422017,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.430964,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.440952,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.446978,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.450832,18FD7C00,1,8,F8,83,05,00,D3,1F,03,FF
CAN2,1503052412.451423,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.460967,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.463316,18EAD000,1,3,C5,FD,00,00,00,00,00,00
CAN2,1503052412.463697,18EAD100,1,3,C5,FD,00,00,00,00,00,00
CAN2,1503052412.465917,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052412.470998,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.472008,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.480946,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.490989,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.496996,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.501009,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.510939,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.520939,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.521988,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.530978,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.540954,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.546970,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.550983,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.560998,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.570986,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.571996,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.580942,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.590995,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.596997,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.601045,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.610934,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.620955,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
