Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503051634.900103,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.910136,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.930124,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.940124,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.950023,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503051634.950612,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.960087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.970076,18FEF500,1,8,64,FF,FF,FE,FE,FF,FF,FF
CAN2,1503051634.970668,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.980082,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.990127,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.990724,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.000006,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051635.000592,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.005073,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503051635.010099,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.020122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.030072,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.040070,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.050069,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.060075,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.070123,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.080101,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.090041,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.090636,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.100068,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.110108,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.120107,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.130082,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.140095,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.150091,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.160087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.170122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.180065,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.190037,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.190626,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.200066,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.210111,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.220137,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.230088,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.240076,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.250004,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051635.250593,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.260086,18FEEE00,1,8,41,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051635.260677,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.265069,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503051635.270147,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.280092,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.290040,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.290631,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.300078,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.310107,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.320127,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.330089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.340235,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.350089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.360098,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.370148,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.380047,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.390035,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.390630,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.400074,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.410115,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.429929,18FD7C00,1,8,F8,83,05,00,D3,1F,03,FF
CAN2,1503051635.430526,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.440097,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.450015,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503051635.450604,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.460078,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.470131,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.480066,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.490045,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.490641,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.500035,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051635.500616,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.510115,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.520120,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.525047,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503051635.530089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.540141,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.550089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.560073,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.570240,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.580057,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.590064,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.590661,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.600082,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.610140,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.620131,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.630182,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.640088,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.650087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.730107,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.740113,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.750030,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051635.750612,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.760077,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.770188,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.780062,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.785141,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503051635.790073,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
